Category,Event Name,Event Value,Usage Count,Suggestion,Keep/Review/Delete
APIEvents,API_REQUEST,api.request,1,"",REVIEW
APIEvents,API_RESPONSE,api.response,0,"",DELETE
ConversationEvents,SESSION_CREATED,session.created,13,"",KEEP
ConversationEvents,SESSION_ENDED,session.ended,0,"",DELETE
ConversationEvents,SESSION_EXPIRED,session.expired,0,"",DELETE
ConversationEvents,REQUEST_RECEIVED,request.received,11,"",KEEP
ConversationEvents,REQUEST_PROCESSING,request.processing,19,"",KEEP
ConversationEvents,REQUEST_VALIDATED,request.validated,10,"",KEEP
ConversationEvents,REQUEST_DENIED_AUTH,request.denied.auth,0,"",DELETE
ConversationEvents,REQUEST_DENIED_RATE_LIMIT,request.denied.rate_limit,0,"",DELETE
ConversationEvents,REQUEST_DENIED_VALIDATION,request.denied.validation,0,"",DELETE
ConversationEvents,SECURITY_VIOLATION,security.violation,2,"",REVIEW
ConversationEvents,REQUEST_FAILED,request.failed,7,"Merge lifecycle: REQUEST with status field",REVIEW
ConversationEvents,REQUEST_COMPLETED,request.completed,17,"Merge lifecycle: REQUEST with status field",REVIEW
ConversationEvents,DOCUMENT_PROCESSING_STARTED,document.processing.started,5,"Merge lifecycle: DOCUMENT_PROCESSING with status field",REVIEW
ConversationEvents,DOCUMENT_PROCESSING_COMPLETED,document.processing.completed,8,"Merge lifecycle: DOCUMENT_PROCESSING with status field",REVIEW
ConversationEvents,DOCUMENT_PROCESSING_FAILED,document.processing.failed,13,"Merge lifecycle: DOCUMENT_PROCESSING with status field",REVIEW
ConversationEvents,CONTENT_EXTRACTION_STARTED,content.extraction.started,1,"Merge lifecycle: CONTENT_EXTRACTION with status field",REVIEW
ConversationEvents,CONTENT_EXTRACTION_COMPLETED,content.extraction.completed,2,"Merge lifecycle: CONTENT_EXTRACTION with status field",REVIEW
ConversationEvents,CONTENT_EXTRACTION_FAILED,content.extraction.failed,0,"Merge lifecycle: CONTENT_EXTRACTION with status field",DELETE
