event_type,level,trigger,description,file,line
APIEvents.API_REQUEST,DEBUG,src/muxi/formation/server/middleware.py:207,Formation API request details,src/muxi/formation/server/middleware.py,207
ConversationEvents.A2A_CREDENTIAL_LOADED,INFO,src/muxi/services/a2a/auth/inbound.py:94,Starting A2A inbound credential initialization,src/muxi/services/a2a/auth/inbound.py,94
ConversationEvents.A2A_CREDENTIAL_LOADED,INFO,src/muxi/services/a2a/auth/inbound.py:117,A2A inbound credential initialization completed,src/muxi/services/a2a/auth/inbound.py,117
ConversationEvents.A2A_CREDENTIAL_LOADED,INFO,src/muxi/services/a2a/auth/inbound.py:158,Loaded A2A inbound credentials from environment,src/muxi/services/a2a/auth/inbound.py,158
ConversationEvents.A2A_CREDENTIAL_LOADED,INFO,src/muxi/services/a2a/auth/inbound.py:180,Loaded A2A inbound credentials from file: {config_path},src/muxi/services/a2a/auth/inbound.py,180
ConversationEvents.A2A_CREDENTIAL_LOADED,INFO,src/muxi/services/a2a/auth/inbound.py:235,Loaded A2A inbound credentials from individual environment variables,src/muxi/services/a2a/auth/inbound.py,235
ConversationEvents.A2A_CREDENTIAL_LOADED,INFO,src/muxi/services/a2a/auth/inbound.py:268,Using default A2A inbound credential configurations,src/muxi/services/a2a/auth/inbound.py,268
ConversationEvents.A2A_CREDENTIAL_LOADED,INFO,src/muxi/services/a2a/auth/inbound.py:327,Loaded inbound credential for {client_id},src/muxi/services/a2a/auth/inbound.py,327
ConversationEvents.A2A_CREDENTIAL_LOADED,INFO,src/muxi/services/a2a/auth/inbound.py:363,A2A inbound credential loading completed,src/muxi/services/a2a/auth/inbound.py,363
ConversationEvents.A2A_CREDENTIAL_LOADED,INFO,src/muxi/services/a2a/auth/inbound.py:493,Added client credential for {client_id},src/muxi/services/a2a/auth/inbound.py,493
ConversationEvents.A2A_CREDENTIAL_LOADED,WARNING,src/muxi/services/a2a/auth/inbound.py:108,No SecretsManager provided - no credentials will be available,src/muxi/services/a2a/auth/inbound.py,108
ConversationEvents.A2A_CREDENTIAL_LOADED,WARNING,src/muxi/services/a2a/auth/inbound.py:277,No A2A inbound credential configurations found,src/muxi/services/a2a/auth/inbound.py,277
ConversationEvents.A2A_CREDENTIAL_LOADED,WARNING,src/muxi/services/a2a/auth/inbound.py:290,SecretsManager not available for credential loading,src/muxi/services/a2a/auth/inbound.py,290
ConversationEvents.A2A_CREDENTIAL_LOADED,WARNING,src/muxi/services/a2a/auth/inbound.py:342,No credentials found for {client_id},src/muxi/services/a2a/auth/inbound.py,342
ConversationEvents.A2A_CREDENTIAL_LOADED,WARNING,src/muxi/services/a2a/auth/inbound.py:422,Secret {secret_name} not found for Basic auth {key},src/muxi/services/a2a/auth/inbound.py,422
ConversationEvents.A2A_DISCOVERY_COMPLETED,DEBUG,src/muxi/services/a2a/discovery.py:901,A2A registry saved successfully,src/muxi/services/a2a/discovery.py,901
ConversationEvents.A2A_DISCOVERY_COMPLETED,INFO,src/muxi/services/a2a/discovery.py:136,A2A Discovery Service startup completed,src/muxi/services/a2a/discovery.py,136
ConversationEvents.A2A_DISCOVERY_INITIALIZED,INFO,src/muxi/services/a2a/discovery.py:71,A2A Discovery Service initialized,src/muxi/services/a2a/discovery.py,71
ConversationEvents.A2A_MESSAGE_FAILED,ERROR,src/muxi/formation/agents/agent.py:3795,Failed to handle information sharing: {str(e)},src/muxi/formation/agents/agent.py,3795
ConversationEvents.A2A_MESSAGE_FAILED,ERROR,src/muxi/formation/agents/agent.py:4042,Failed to process {message_type}: {str(e)},src/muxi/formation/agents/agent.py,4042
ConversationEvents.A2A_MESSAGE_FAILED,ERROR,src/muxi/services/a2a/client.py:222,Error sending A2A message: {e},src/muxi/services/a2a/client.py,222
ConversationEvents.A2A_MESSAGE_FAILED,ERROR,src/muxi/services/a2a/client.py:231,A2A message failed from {source_agent_id} to {target_agent_id}: {str(e)},src/muxi/services/a2a/client.py,231
ConversationEvents.A2A_MESSAGE_FAILED,ERROR,src/muxi/services/a2a/client.py:278,Error handling A2A message: {e},src/muxi/services/a2a/client.py,278
ConversationEvents.A2A_MESSAGE_FAILED,ERROR,src/muxi/services/a2a/server.py:519,SDK A2A message handling failed: {str(e)},src/muxi/services/a2a/server.py,519
ConversationEvents.A2A_MESSAGE_PROCESSED,INFO,src/muxi/formation/agents/agent.py:3781,Stored shared information from {source_agent_id},src/muxi/formation/agents/agent.py,3781
ConversationEvents.A2A_MESSAGE_RECEIVED,INFO,src/muxi/formation/agents/agent.py:3223,A2A response received: execution={execution_completed},src/muxi/formation/agents/agent.py,3223
ConversationEvents.A2A_MESSAGE_RECEIVED,INFO,src/muxi/formation/agents/agent.py:3928,Executing task from {source_agent_id}: {task_text[:50]}...,src/muxi/formation/agents/agent.py,3928
ConversationEvents.A2A_MESSAGE_RECEIVED,INFO,src/muxi/formation/agents/agent.py:4026,Processed {message_type} from {source_agent_id},src/muxi/formation/agents/agent.py,4026
ConversationEvents.A2A_MESSAGE_SENT,DEBUG,src/muxi/services/a2a/client.py:147,Routing internally to {target_agent_id},src/muxi/services/a2a/client.py,147
ConversationEvents.A2A_MESSAGE_SENT,DEBUG,src/muxi/services/a2a/client.py:163,External agent {target_agent_id} requested,src/muxi/services/a2a/client.py,163
ConversationEvents.A2A_MESSAGE_SENT,INFO,src/muxi/formation/agents/agent.py:3121,Agent {self.agent_id} requesting A2A assistance from {best_agent_id},src/muxi/formation/agents/agent.py,3121
ConversationEvents.A2A_MESSAGE_SENT,INFO,src/muxi/formation/agents/agent.py:3155,A2A execution request: {self.agent_id} -> {best_agent_id},src/muxi/formation/agents/agent.py,3155
ConversationEvents.A2A_MESSAGE_SENT,INFO,src/muxi/services/a2a/client.py:196,A2A message sent from {source_agent_id} to {target_agent_id} ({message_type}),src/muxi/services/a2a/client.py,196
ConversationEvents.A2A_TASK_HANDOFF,INFO,src/muxi/formation/agents/agent.py:3860,Task handoff: {task} from {source_agent_id},src/muxi/formation/agents/agent.py,3860
ConversationEvents.AGENT_A2A,DEBUG,src/muxi/formation/agents/agent.py:1600,NO DESCRIPTION,src/muxi/formation/agents/agent.py,1600
ConversationEvents.AGENT_A2A,INFO,src/muxi/formation/agents/agent.py:2995,Agent {self.agent_id} bypassing A2A for workflow task,src/muxi/formation/agents/agent.py,2995
ConversationEvents.AGENT_A2A,WARNING,src/muxi/formation/agents/agent.py:1625,Agent {self.agent_id} reached max A2A attempts limit,src/muxi/formation/agents/agent.py,1625
ConversationEvents.AGENT_A2A_MESSAGE_RECEIVED,INFO,src/muxi/formation/agents/agent.py:3627,Agent {self.agent_id} received A2A message from {source_agent_id},src/muxi/formation/agents/agent.py,3627
ConversationEvents.AGENT_MESSAGE_PROCESSING,INFO,src/muxi/formation/agents/agent.py:835,Agent {self.agent_id} processing message,src/muxi/formation/agents/agent.py,835
ConversationEvents.AGENT_MESSAGE_PROCESSING,INFO,src/muxi/formation/agents/agent.py:883,NO DESCRIPTION,src/muxi/formation/agents/agent.py,883
ConversationEvents.AGENT_PLANNING,DEBUG,src/muxi/formation/agents/agent.py:1086,"Starting execution of {len(execution_plan.get('my_steps', []))} my_steps",src/muxi/formation/agents/agent.py,1086
ConversationEvents.AGENT_PLANNING,DEBUG,src/muxi/formation/agents/agent.py:1097,"Processing step: {step.get('action', 'unknown')}",src/muxi/formation/agents/agent.py,1097
ConversationEvents.AGENT_PLANNING,DEBUG,src/muxi/formation/agents/agent.py:1154,Inferred parameters for {tool_name},src/muxi/formation/agents/agent.py,1154
ConversationEvents.AGENT_PLANNING,DEBUG,src/muxi/formation/agents/agent.py:1167,NO DESCRIPTION,src/muxi/formation/agents/agent.py,1167
ConversationEvents.AGENT_PLANNING,DEBUG,src/muxi/formation/agents/agent.py:4397,LLM inferred parameters for {tool_name},src/muxi/formation/agents/agent.py,4397
ConversationEvents.AGENT_PLANNING,ERROR,src/muxi/formation/agents/agent.py:4423,Failed to parse LLM parameter inference as JSON,src/muxi/formation/agents/agent.py,4423
ConversationEvents.AGENT_PLANNING,ERROR,src/muxi/formation/agents/agent.py:4435,Exception in LLM parameter inference,src/muxi/formation/agents/agent.py,4435
ConversationEvents.AGENT_PLANNING,INFO,src/muxi/formation/agents/agent.py:1032,Agent {self.agent_id} bypassing planning phase: {reason},src/muxi/formation/agents/agent.py,1032
ConversationEvents.AGENT_PLANNING,INFO,src/muxi/formation/agents/agent.py:1064,Execution plan ready for {self.agent_id},src/muxi/formation/agents/agent.py,1064
ConversationEvents.AGENT_PLANNING,INFO,src/muxi/formation/agents/agent.py:1474,Planning-based execution completed,src/muxi/formation/agents/agent.py,1474
ConversationEvents.AGENT_PLANNING,INFO,src/muxi/formation/agents/agent.py:3321,Agent {self.agent_id} starting planning with {len(tool_names)} tools,src/muxi/formation/agents/agent.py,3321
ConversationEvents.AGENT_PLANNING,INFO,src/muxi/formation/agents/agent.py:3464,Raw planning response from LLM,src/muxi/formation/agents/agent.py,3464
ConversationEvents.AGENT_PLANNING,INFO,src/muxi/formation/agents/agent.py:3520,Agent {self.agent_id} created execution plan,src/muxi/formation/agents/agent.py,3520
ConversationEvents.AGENT_PLANNING,WARNING,src/muxi/formation/agents/agent.py:4230,Parameter '{param_name}' not in tool schema for {tool_name},src/muxi/formation/agents/agent.py,4230
ConversationEvents.AGENT_PLANNING,WARNING,src/muxi/formation/agents/agent.py:4410,LLM inference missing required params: {missing},src/muxi/formation/agents/agent.py,4410
ConversationEvents.AGENT_PLANNING_STARTED,INFO,src/muxi/formation/workflow/decomposer.py:1162,ApprovalManager.present_plan_for_approval called,src/muxi/formation/workflow/decomposer.py,1162
