file_path,line_number,component,category,priority,comment
muxi/formation/background/time_estimator.py,75,,UNCATEGORIZED,LOW,#  Debug - TODO: add observability
muxi/formation/background/time_estimator.py,86,,System/Error,LOW,#  Error - TODO: add observability
muxi/formation/background/time_estimator.py,122,,UNCATEGORIZED,LOW,#  Debug - TODO: add observability
muxi/formation/background/time_estimator.py,132,,System/Error,LOW,#  Error - TODO: add observability
muxi/formation/background/webhook_manager.py,151,Webhook,UNCATEGORIZED,LOW,#  Webhook info - TODO: add observability
muxi/formation/background/webhook_manager.py,158,Webhook,UNCATEGORIZED,LOW,#  Webhook info - TODO: add observability
muxi/formation/background/webhook_manager.py,167,Webhook,System/Error,LOW,#  Webhook warning - TODO: add observability
muxi/formation/background/webhook_manager.py,174,Webhook,System/Error,MEDIUM,#  Webhook error - TODO: add observability
muxi/formation/background/webhook_manager.py,185,Webhook,System/Error,LOW,#  Webhook warning - TODO: add observability
muxi/formation/background/webhook_manager.py,192,Webhook,System/Error,LOW,#  Webhook error - TODO: add observability
muxi/formation/background/webhook_manager.py,201,Webhook,System/Error,MEDIUM,#  Webhook debug - TODO: add observability
muxi/formation/background/webhook_manager.py,378,Webhook,Conversation,LOW,#  Webhook info - TODO: add observability
muxi/formation/background/webhook_manager.py,385,Webhook,Conversation,LOW,#  Webhook info - TODO: add observability
muxi/formation/background/webhook_manager.py,393,Webhook,UNCATEGORIZED,LOW,#  Webhook warning - TODO: add observability
muxi/formation/background/webhook_manager.py,400,Webhook,System/Error,MEDIUM,#  Webhook error - TODO: add observability
muxi/formation/background/webhook_manager.py,410,Webhook,System/Error,LOW,#  Webhook warning - TODO: add observability
muxi/formation/background/webhook_manager.py,417,Webhook,System/Error,LOW,#  Webhook error - TODO: add observability
muxi/formation/background/webhook_manager.py,427,Webhook,System/Error,MEDIUM,#  Webhook debug - TODO: add observability
muxi/formation/background/webhook_manager.py,454,Webhook,Conversation,LOW,#  Webhook debug - TODO: add observability
muxi/formation/background/webhook_manager.py,461,Webhook,UNCATEGORIZED,LOW,#  Webhook warning - TODO: add observability
muxi/formation/background/webhook_manager.py,469,Webhook,UNCATEGORIZED,LOW,#  Webhook debug - TODO: add observability
muxi/formation/memory/extraction_coordinator.py,121,Memory,System/Error,LOW,#  Error - TODO: add observability
muxi/formation/memory/persistent_manager.py,297,Memory,UNCATEGORIZED,LOW,#  Warning - TODO: add observability
muxi/formation/memory/persistent_manager.py,336,Memory,UNCATEGORIZED,LOW,#  Warning - TODO: add observability
muxi/formation/memory/buffer_manager.py,176,Memory,UNCATEGORIZED,LOW,#  Warning - TODO: add observability
muxi/formation/memory/buffer_manager.py,204,Memory,System/Error,LOW,#  Buffer memory clear error - TODO: add observability
muxi/formation/overlord/secrets_manager.py,43,Overlord,System/Error,LOW,#  Error - TODO: add observability
muxi/formation/overlord/secrets_manager.py,62,Overlord,System/Error,LOW,#  Error - TODO: add observability
muxi/formation/overlord/secrets_manager.py,85,Overlord,System/Error,LOW,#  Error - TODO: add observability
muxi/formation/overlord/secrets_manager.py,106,Overlord,System/Error,LOW,#  Error - TODO: add observability
muxi/formation/overlord/secrets_manager.py,124,Overlord,System/Error,LOW,#  Error - TODO: add observability
muxi/formation/overlord/secrets_manager.py,146,Overlord,System/Error,LOW,#  Error - TODO: add observability
muxi/formation/overlord/mcp_coordinator.py,385,MCP,System/Error,HIGH,# TODO: Add observability event - SystemEvents.MCP_SERVER_REGISTRATION_FAILED
muxi/formation/overlord/mcp_coordinator.py,417,MCP,System/Error,LOW,#  Info - TODO: add observability
muxi/formation/overlord/mcp_coordinator.py,464,MCP,UNCATEGORIZED,LOW,# Info - TODO: add observability
muxi/formation/overlord/mcp_coordinator.py,520,MCP,UNCATEGORIZED,LOW,#  Info - TODO: add observability
muxi/formation/overlord/agent_router.py,119,Overlord,Conversation,LOW,#  Info - TODO: add observability
muxi/formation/overlord/agent_router.py,123,Overlord,Conversation,LOW,#  Warning - TODO: add observability
muxi/formation/overlord/agent_router.py,141,Overlord,Conversation,MEDIUM,#  Warning - TODO: add observability
muxi/formation/overlord/agent_router.py,145,Overlord,Conversation,LOW,#  Info - TODO: add observability
muxi/formation/overlord/agent_router.py,163,Overlord,Conversation,LOW,#  Warning - TODO: add observability
muxi/formation/overlord/a2a_coordinator.py,376,A2A,Conversation,LOW,#  Info - TODO: add observability
muxi/formation/overlord/a2a_coordinator.py,380,A2A,System/Error,LOW,#  Error - TODO: add observability
