event_type,level,trigger,description,file,line,recommendation,comment,status
SystemEvents.INITIALIZING,INFO,src/muxi/formation/initialization.py:97,Observability initialized with file output: {event_logger.output_config.get('path')},src/muxi/formation/initialization.py,97,KEEP - Observability bootstrap (chicken-egg),Convert to init print,done
SystemEvents.INITIALIZING,INFO,src/muxi/formation/initialization.py:234,LLM configuration initialized,src/muxi/formation/initialization.py,234,KEEP - LLM config not in InitEventFormatter,explain,done
SystemEvents.INITIALIZING,INFO,src/muxi/formation/initialization.py:339,Buffer memory initialized with size {size},src/muxi/formation/initialization.py,339,REMOVE - Redundant (InitEventFormatter section 2: Buffer memory),remove,done
SystemEvents.INITIALIZING,INFO,src/muxi/formation/initialization.py:456,Persistent memory initialized with {memory_type},src/muxi/formation/initialization.py,456,REMOVE - Redundant (InitEventFormatter section 4: Persistent memory),remove,done
SystemEvents.INITIALIZING,INFO,src/muxi/formation/initialization.py:553,Document processing initialized,src/muxi/formation/initialization.py,553,KEEP - Document processing not in InitEventFormatter,remove,done
SystemEvents.INITIALIZING,INFO,src/muxi/formation/initialization.py:604,Found {len(servers)} MCP servers to configure,src/muxi/formation/initialization.py,604,REMOVE - Redundant (InitEventFormatter section 5: MCP per-server lines),remove,done
SystemEvents.INITIALIZING,INFO,src/muxi/formation/initialization.py:651,Initializing artifact generation service,src/muxi/formation/initialization.py,651,KEEP - Artifact service not in InitEventFormatter,remove,done
SystemEvents.INITIALIZING,INFO,src/muxi/formation/initialization.py:708,Background services initialized,src/muxi/formation/initialization.py,708,REMOVE - Redundant (InitEventFormatter section 8: Scheduler service),remove,done
SystemEvents.INITIALIZING,INFO,src/muxi/formation/initialization.py:813,Document processing configuration initialized,src/muxi/formation/initialization.py,813,KEEP - Document config not in InitEventFormatter,remove,done
SystemEvents.INITIALIZING,INFO,src/muxi/formation/initialization.py:1077,Persistent memory connection initialized,src/muxi/formation/initialization.py,1077,REMOVE - Redundant (InitEventFormatter section 4: Persistent memory),remove,done
SystemEvents.INITIALIZING,INFO,src/muxi/formation/initialization.py:1120,Persistent memory tables created,src/muxi/formation/initialization.py,1120,REMOVE - Redundant (InitEventFormatter section 4: Persistent memory),remove,done
SystemEvents.INITIALIZING,INFO,src/muxi/formation/overlord/overlord.py:482,Initialized encrypted credential resolver,src/muxi/formation/overlord/overlord.py,482,KEEP - Credential resolver not in InitEventFormatter,remove,done
SystemEvents.INITIALIZING,INFO,src/muxi/formation/overlord/overlord.py:2786,A2A ClientFactory initialized with AgentTransport,src/muxi/formation/overlord/overlord.py,2786,KEEP - A2A ClientFactory distinct from A2A server,remove,done
SystemEvents.INITIALIZING,INFO,src/muxi/formation/overlord/overlord.py:4148,Successfully extracted {len(extracted_content)} chars from {filename},src/muxi/formation/overlord/overlord.py,4148,REMOVE - DEBUG runtime trace (file processing),remove,done
SystemEvents.INITIALIZING,INFO,src/muxi/formation/server/server.py:130,Initializing Formation server on {self.host}:{self.port},src/muxi/formation/server/server.py,130,KEEP - Runtime event (not startup),should be replaced with appropriate ServerEvents,done
SystemEvents.INITIALIZING,INFO,src/muxi/formation/server/server.py:226,API keys loaded from formation configuration,src/muxi/formation/server/server.py,226,KEEP - API keys config not in InitEventFormatter,should be replaced with appropriate ServerEvents,done
SystemEvents.INITIALIZING,INFO,src/muxi/formation/workflow/workflow_manager.py:51,WorkflowManager initialized,src/muxi/formation/workflow/workflow_manager.py,51,KEEP - Workflow manager not in InitEventFormatter,remove,done
SystemEvents.INITIALIZING,INFO,src/muxi/services/llm/llm.py:151,OneLLM cache is disabled in configuration,src/muxi/services/llm/llm.py,151,KEEP - LLM cache config (new Oct 2025 feature),remove,done
SystemEvents.INITIALIZING,INFO,src/muxi/services/llm/llm.py:173,"f-string: Initialized LLM response caching (enabled={cache_config.get(""enabled"", True)}, max_entries={cache_config.get(""max_entries"", 10000)})",src/muxi/services/llm/llm.py,173,KEEP - LLM cache config (new Oct 2025 feature),Convert to init print,done
SystemEvents.INITIALIZING,INFO,src/muxi/services/memory/long_term.py:258,pgvector extension created successfully,src/muxi/services/memory/long_term.py,258,REMOVE - DEBUG runtime trace (internal detail),remove,done
SystemEvents.INITIALIZING,INFO,src/muxi/utils/run_formation.py:64,Loading formation from: {formation_path},src/muxi/utils/run_formation.py,64,REMOVE - Redundant (InitEventFormatter section 1: Formation banner),remove,done
SystemEvents.INITIALIZING,INFO,src/muxi/utils/run_formation.py:271,Starting formation runner with path: {formation_path},src/muxi/utils/run_formation.py,271,REMOVE - Redundant (InitEventFormatter section 1: Formation banner),remove,done
SystemEvents.INITIALIZING,WARNING,src/muxi/formation/server/server.py:185,Auto-generated API keys created - NOT recommended for production use,src/muxi/formation/server/server.py,185,KEEP - Security warning (auto-generated keys),Convert to init print,done
SystemEvents.KNOWLEDGE_SOURCE_FAILED,ERROR,src/muxi/formation/agents/knowledge/base.py:463,Error processing knowledge file,src/muxi/formation/agents/knowledge/base.py,463,OK - No issues identified,,
